unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1655942400000,2022-06-23 00:00:00,BTC/USDT,19988.00000000,20207.91000000,19890.07000000,20176.50000000,2006.18532000,40218974.62415300,24369
1655938800000,2022-06-22 23:00:00,BTC/USDT,20103.32000000,20139.53000000,19960.51000000,19987.99000000,2180.54696000,43727070.10931560,29812
1655935200000,2022-06-22 22:00:00,BTC/USDT,20005.30000000,20169.09000000,19918.31000000,20103.32000000,2537.37762000,50833425.90713540,36977
1655931600000,2022-06-22 21:00:00,BTC/USDT,19879.98000000,20064.67000000,19831.19000000,20005.30000000,2198.46208000,43818958.00662010,42732
1655928000000,2022-06-22 20:00:00,BTC/USDT,20117.34000000,20239.87000000,19770.51000000,19879.97000000,4765.55052000,95205373.58847200,73206
1655924400000,2022-06-22 19:00:00,BTC/USDT,20218.15000000,20266.32000000,19913.00000000,20117.34000000,3269.37855000,65675177.23016350,55368
1655920800000,2022-06-22 18:00:00,BTC/USDT,20267.43000000,20378.47000000,20200.00000000,20218.15000000,2284.80699000,46336459.35889870,41644
1655917200000,2022-06-22 17:00:00,BTC/USDT,20322.72000000,20380.00000000,20150.00000000,20267.42000000,3395.33844000,68826335.75284610,56741
1655913600000,2022-06-22 16:00:00,BTC/USDT,20080.85000000,20345.76000000,19840.86000000,20322.73000000,7406.84975000,148775432.57497040,109215
1655910000000,2022-06-22 15:00:00,BTC/USDT,20693.98000000,20702.79000000,20035.54000000,20080.10000000,7307.38353000,148703983.61101780,97779
1655906400000,2022-06-22 14:00:00,BTC/USDT,20723.95000000,20900.00000000,20640.00000000,20693.98000000,5897.88574000,122462730.32343910,85968
1655902800000,2022-06-22 13:00:00,BTC/USDT,20365.49000000,20772.61000000,20235.08000000,20723.95000000,6458.44579000,132451785.71175030,92781
1655899200000,2022-06-22 12:00:00,BTC/USDT,20506.30000000,20573.37000000,20106.06000000,20365.50000000,4105.11750000,83496987.30593060,61882
1655895600000,2022-06-22 11:00:00,BTC/USDT,20419.24000000,20676.70000000,20399.01000000,20506.30000000,3047.62939000,62592560.74368300,45359
1655892000000,2022-06-22 10:00:00,BTC/USDT,20428.57000000,20550.00000000,20357.14000000,20419.23000000,2897.44157000,59201420.61095530,41416
1655888400000,2022-06-22 09:00:00,BTC/USDT,20235.06000000,20499.90000000,20232.29000000,20428.56000000,4035.91694000,82146325.29432330,57285
1655884800000,2022-06-22 08:00:00,BTC/USDT,20099.62000000,20257.00000000,20038.85000000,20235.07000000,2234.15756000,45087904.47480740,39404
1655881200000,2022-06-22 07:00:00,BTC/USDT,20112.97000000,20249.71000000,19966.62000000,20099.62000000,3610.85035000,72705397.71547260,54303
