IDX,DateTime,MIDPOINT
0,2020-03-16 16:00:00,176.5
1,2020-03-16 17:00:00,176.17
2,2020-03-16 18:00:00,175.665
3,2020-03-16 19:00:00,175.495
4,2020-03-16 20:00:00,173.97
5,2020-03-16 21:00:00,176.83
6,2020-03-16 22:00:00,180.7
7,2020-03-16 23:00:00,183.475
8,2020-03-17 00:00:00,179.635
9,2020-03-17 01:00:00,178.11
10,2020-03-17 02:00:00,179.105
11,2020-03-17 03:00:00,169.64
12,2020-03-17 04:00:00,172.3
13,2020-03-17 05:00:00,171.2
14,2020-03-17 06:00:00,173.26
15,2020-03-17 07:00:00,174.775
16,2020-03-17 16:00:00,175.12
17,2020-03-17 17:00:00,173.335
18,2020-03-17 18:00:00,178.05
19,2020-03-17 19:00:00,173.54
20,2020-03-17 20:00:00,175.375
21,2020-03-17 21:00:00,170.615
22,2020-03-17 22:00:00,176.615
23,2020-03-17 23:00:00,181.105
24,2020-03-18 00:00:00,179.415
25,2020-03-18 01:00:00,180.38
26,2020-03-18 02:00:00,180.88
27,2020-03-18 03:00:00,181.93
28,2020-03-18 04:00:00,179.845
29,2020-03-18 05:00:00,179.385
30,2020-03-18 06:00:00,178.31
31,2020-03-18 07:00:00,175.67
32,2020-03-18 16:00:00,172.92
33,2020-03-18 17:00:00,171.845
34,2020-03-18 18:00:00,170.5
35,2020-03-18 19:00:00,172.65
36,2020-03-18 20:00:00,171.885
37,2020-03-18 21:00:00,176.635
38,2020-03-18 22:00:00,175.685
39,2020-03-18 23:00:00,175.8
40,2020-03-19 00:00:00,172.635
41,2020-03-19 01:00:00,168.77
42,2020-03-19 02:00:00,172.13
43,2020-03-19 03:00:00,176.465
44,2020-03-19 04:00:00,177.35
45,2020-03-19 05:00:00,177.03
46,2020-03-19 06:00:00,179.46
47,2020-03-19 07:00:00,180.235
48,2020-03-19 16:00:00,178.49
49,2020-03-19 17:00:00,175.995
50,2020-03-19 18:00:00,175.2
51,2020-03-19 19:00:00,173.53
52,2020-03-19 20:00:00,175.27
53,2020-03-19 21:00:00,176.875
54,2020-03-19 22:00:00,177.105
55,2020-03-19 23:00:00,179.16
56,2020-03-20 00:00:00,179.655
57,2020-03-20 01:00:00,181.355
58,2020-03-20 02:00:00,181.585
59,2020-03-20 03:00:00,177.775
60,2020-03-20 04:00:00,175.835
61,2020-03-20 05:00:00,175.825
62,2020-03-20 06:00:00,174.9
63,2020-03-20 07:00:00,176.145
64,2020-03-20 16:00:00,186.685
65,2020-03-20 17:00:00,186.91
66,2020-03-20 18:00:00,185.74
67,2020-03-20 19:00:00,184.06
68,2020-03-20 20:00:00,181.62
69,2020-03-20 21:00:00,179.815
70,2020-03-20 22:00:00,182.655
71,2020-03-20 23:00:00,178.72
72,2020-03-21 00:00:00,177.395
73,2020-03-21 01:00:00,177.535
74,2020-03-21 02:00:00,173.66
75,2020-03-21 03:00:00,170.61
76,2020-03-21 04:00:00,169.565
77,2020-03-21 05:00:00,169.05
78,2020-03-21 06:00:00,169.25
79,2020-03-21 07:00:00,169.105
80,2020-03-23 16:00:00,164.975
81,2020-03-23 17:00:00,165.845
82,2020-03-23 18:00:00,167.15
83,2020-03-23 19:00:00,165.765
84,2020-03-23 20:00:00,175.06
85,2020-03-23 21:00:00,171.465
86,2020-03-23 22:00:00,168.785
87,2020-03-23 23:00:00,167.1
88,2020-03-24 00:00:00,172.715
89,2020-03-24 01:00:00,169.64
90,2020-03-24 02:00:00,169.11
91,2020-03-24 03:00:00,170.65
92,2020-03-24 04:00:00,170.23
93,2020-03-24 05:00:00,171.99
94,2020-03-24 06:00:00,172.935
95,2020-03-24 07:00:00,172.79
96,2020-03-24 16:00:00,178.205
97,2020-03-24 17:00:00,179.425
98,2020-03-24 18:00:00,179.84
99,2020-03-24 19:00:00,177.76
100,2020-03-24 20:00:00,178.96
101,2020-03-24 21:00:00,178.94
102,2020-03-24 22:00:00,180.075
103,2020-03-24 23:00:00,181.875
104,2020-03-25 00:00:00,181.335
105,2020-03-25 01:00:00,179.345
106,2020-03-25 02:00:00,182.125
107,2020-03-25 03:00:00,183.8
108,2020-03-25 04:00:00,184.25
109,2020-03-25 05:00:00,183.875
110,2020-03-25 06:00:00,184.99
111,2020-03-25 07:00:00,182.81
112,2020-03-25 16:00:00,187.805
113,2020-03-25 17:00:00,187.32
114,2020-03-25 18:00:00,181.67
115,2020-03-25 19:00:00,182.38
116,2020-03-25 20:00:00,183.55
117,2020-03-25 21:00:00,182.415
118,2020-03-25 22:00:00,183.29
119,2020-03-25 23:00:00,183.055
120,2020-03-26 00:00:00,185.595
121,2020-03-26 01:00:00,187.83
122,2020-03-26 02:00:00,187.595
123,2020-03-26 03:00:00,182.11
124,2020-03-26 04:00:00,182.6
125,2020-03-26 05:00:00,182.785
