IDX,DateTime,MIDPOINT
0,2020-07-02 16:00:00,287.12
1,2020-07-02 17:00:00,286.89
2,2020-07-02 18:00:00,287.16
3,2020-07-02 19:00:00,287.395
4,2020-07-02 20:00:00,289.075
5,2020-07-02 21:00:00,289.74
6,2020-07-02 22:00:00,287.47
7,2020-07-02 23:00:00,288.115
8,2020-07-03 00:00:00,288.195
9,2020-07-03 01:00:00,288.255
10,2020-07-03 02:00:00,288.53
11,2020-07-03 03:00:00,286.795
12,2020-07-03 04:00:00,287.18
13,2020-07-03 05:00:00,287.07
14,2020-07-03 06:00:00,287.89
15,2020-07-03 07:00:00,287.35
16,2020-07-06 16:00:00,290.745
17,2020-07-06 17:00:00,290.755
18,2020-07-06 18:00:00,290.905
19,2020-07-06 19:00:00,291.025
20,2020-07-06 20:00:00,291.295
21,2020-07-06 21:00:00,291.0
22,2020-07-06 22:00:00,291.145
23,2020-07-06 23:00:00,290.73
24,2020-07-07 00:00:00,290.75
25,2020-07-07 01:00:00,290.875
26,2020-07-07 02:00:00,290.29
27,2020-07-07 03:00:00,291.21
28,2020-07-07 04:00:00,291.145
29,2020-07-07 05:00:00,291.25
30,2020-07-07 06:00:00,291.45
31,2020-07-07 07:00:00,291.87
32,2020-07-07 16:00:00,289.13
33,2020-07-07 17:00:00,288.86
34,2020-07-07 18:00:00,288.895
35,2020-07-07 19:00:00,289.58
36,2020-07-07 20:00:00,289.635
37,2020-07-07 21:00:00,290.285
38,2020-07-07 22:00:00,291.06
39,2020-07-07 23:00:00,290.97
40,2020-07-08 00:00:00,290.645
41,2020-07-08 01:00:00,290.485
42,2020-07-08 02:00:00,289.845
43,2020-07-08 03:00:00,288.195
44,2020-07-08 04:00:00,288.145
45,2020-07-08 05:00:00,287.85
46,2020-07-08 06:00:00,288.21
47,2020-07-08 07:00:00,288.6
48,2020-07-08 16:00:00,288.815
49,2020-07-08 17:00:00,288.02
50,2020-07-08 18:00:00,288.535
51,2020-07-08 19:00:00,288.905
52,2020-07-08 20:00:00,288.66
53,2020-07-08 21:00:00,290.385
54,2020-07-08 22:00:00,289.725
55,2020-07-08 23:00:00,288.605
56,2020-07-09 00:00:00,289.295
57,2020-07-09 01:00:00,288.325
58,2020-07-09 02:00:00,288.985
59,2020-07-09 03:00:00,290.42
60,2020-07-09 04:00:00,290.85
61,2020-07-09 05:00:00,289.62
62,2020-07-09 06:00:00,290.98
63,2020-07-09 07:00:00,291.075
64,2020-07-09 16:00:00,290.41
65,2020-07-09 17:00:00,290.53
66,2020-07-09 18:00:00,290.25
67,2020-07-09 19:00:00,290.81
68,2020-07-09 20:00:00,291.17
69,2020-07-09 21:00:00,290.38
70,2020-07-09 22:00:00,286.58
71,2020-07-09 23:00:00,286.84
72,2020-07-10 00:00:00,288.005
