date,i
2018-02-05,24
2018-02-06,19.6
2018-02-07,23.8
2018-02-08,21.8
2018-02-09,25.8
2018-02-10,34.4
2018-02-11,39
2018-02-12,40.2
2018-02-13,41.2
2018-02-14,43.4
2018-02-15,46.8
2018-02-16,54
2018-02-17,60.4
2018-02-18,66
2018-02-19,68.4
2018-02-20,69
2018-02-21,66.4
2018-02-22,60.4
2018-02-23,55.6
2018-02-24,48.4
2018-02-25,40.2
2018-02-26,36.8
2018-02-27,36.8
2018-02-28,37.2
2018-03-01,38.6
2018-03-02,41.4
2018-03-03,45.2
2018-03-04,45.2
2018-03-05,48
2018-03-06,52.2
2018-03-07,50.2
2018-03-08,46.8
2018-03-09,45.4
2018-03-10,42.2
2018-03-11,38.4
2018-03-12,39.2
2018-03-13,39.6
2018-03-14,40.2
2018-03-15,38.8
2018-03-16,37.4
2018-03-17,35.4
2018-03-18,33
2018-03-19,30.8
2018-03-20,31.8
2018-03-21,32.4
2018-03-22,33.4
2018-03-23,33.2
2018-03-24,33.8
2018-03-25,32.4
2018-03-26,31.4
2018-03-27,29
2018-03-28,28.2
2018-03-29,25.4
2018-03-30,21.8
2018-03-31,18.8
2018-04-01,17.2
2018-04-02,14.6
2018-04-03,15.4
2018-04-04,17.4
2018-04-05,17.6
2018-04-06,18.2
2018-04-07,20
2018-04-08,19
2018-04-09,18.8
2018-04-10,19
2018-04-11,19.2
2018-04-12,18.8
2018-04-13,20
2018-04-17,21
2018-04-18,22.2
2018-04-19,23.2
2018-04-20,24.8
2018-04-21,26.6
2018-04-22,27.6
2018-04-23,28.4
2018-04-24,29.2
2018-04-25,36.8
2018-04-26,39.8
2018-04-27,44.6
2018-04-28,49.8
2018-04-29,56.2
2018-04-30,55.2
2018-05-01,57
2018-05-02,56.4
2018-05-03,56.6
2018-05-04,55.6
2018-05-05,56.4
2018-05-06,58.6
2018-05-07,59.4
2018-05-08,60.8
2018-05-09,60.2
2018-05-10,60.2
2018-05-11,55
2018-05-12,52.6
2018-05-13,48.2
2018-05-14,45.6
2018-05-15,41
2018-05-16,39.2
2018-05-17,36.6
2018-05-18,36
2018-05-19,34.2
2018-05-20,32.6
2018-05-21,34.4
2018-05-22,34.2
2018-05-23,32
2018-05-24,31.2
2018-05-25,29.8
2018-05-26,26.2
2018-05-27,24
2018-05-28,23.2
2018-05-29,21
2018-05-30,23.6
2018-05-31,24
2018-06-01,25
2018-06-02,26
2018-06-03,30.8
2018-06-04,31.4
2018-06-05,31.6
2018-06-06,35.2
2018-06-07,37.4
2018-06-08,37.4
2018-06-09,37
2018-06-10,36.6
2018-06-11,31.2
2018-06-12,27.4
2018-06-13,23.2
2018-06-14,18.8
2018-06-15,19.2
2018-06-16,20.6
2018-06-17,21.4
2018-06-18,23
2018-06-19,26
2018-06-20,27.6
2018-06-21,30.6
2018-06-22,31.6
2018-06-23,29.6
2018-06-24,26.2
2018-06-25,22.6
2018-06-26,19.4
2018-06-27,17.4
2018-06-28,18
2018-06-29,18.2
2018-06-30,19.4
2018-07-01,20.6
2018-07-02,22.4
2018-07-03,24.6
2018-07-04,28
2018-07-05,31
2018-07-06,32.4
2018-07-07,33.8
2018-07-08,35.2
2018-07-09,36.4
2018-07-10,36.4
2018-07-11,35.4
2018-07-12,35.2
2018-07-13,33.4
2018-07-14,31.4
2018-07-15,30.4
2018-07-16,31.8
2018-07-17,33
2018-07-18,35.6
2018-07-19,38.6
2018-07-20,41.6
2018-07-21,43
2018-07-22,44.4
2018-07-23,44.8
2018-07-24,45.8
2018-07-25,47.2
2018-07-26,49.2
2018-07-27,49.4
2018-07-28,51.4
2018-07-29,52.4
2018-07-30,52.2
2018-07-31,51.2
2018-08-01,49.6
2018-08-02,46.6
2018-08-03,43
2018-08-04,38.6
2018-08-05,33.6
2018-08-06,30.8
2018-08-07,28
2018-08-08,25.4
2018-08-09,23
2018-08-10,22.6
2018-08-11,21.2
2018-08-12,19.8
2018-08-13,19.4
2018-08-14,18.8
2018-08-15,18.2
2018-08-16,18.8
2018-08-17,19
2018-08-18,19.6
2018-08-19,21.8
2018-08-20,23.4
2018-08-21,23
2018-08-22,23.4
2018-08-23,22.2
2018-08-24,20.6
2018-08-25,19.8
2018-08-26,19.8
2018-08-27,19.2
2018-08-28,19.4
2018-08-29,19.4
2018-08-30,19.4
2018-08-31,19
2018-09-01,19.6
2018-09-02,19.4
2018-09-03,19.4
2018-09-04,20.2
2018-09-05,20.2
2018-09-06,18.8
2018-09-07,18.6
2018-09-08,18.4
2018-09-09,15.8
2018-09-10,15.4
2018-09-11,16.2
2018-09-12,15.6
2018-09-13,16
2018-09-14,18
2018-09-15,19.8
2018-09-16,21.8
2018-09-17,24
2018-09-18,24.2
2018-09-19,24.4
2018-09-20,24.4
2018-09-21,25
2018-09-22,27
2018-09-23,30.4
2018-09-24,34.2
2018-09-25,36.8
2018-09-26,38
2018-09-27,39.4
2018-09-28,40.2
2018-09-29,39
2018-09-30,38.4
2018-10-01,38
2018-10-02,36.2
2018-10-03,35
2018-10-04,33.4
2018-10-05,34
2018-10-06,33.8
2018-10-07,33
2018-10-08,31
2018-10-09,31.4
2018-10-10,29.6
2018-10-11,26.6
2018-10-12,23.4
2018-10-13,21.2
2018-10-14,18.6
2018-10-15,17
2018-10-16,18
2018-10-17,20
2018-10-18,22.2
2018-10-19,23.4
2018-10-20,23.6
2018-10-21,23
2018-10-22,23.8
2018-10-23,23.4
2018-10-24,23.2
2018-10-25,24
2018-10-26,25.6
2018-10-27,26.8
2018-10-28,29
2018-10-29,31.2
2018-10-30,32.4
2018-10-31,33
2018-11-01,32.2
2018-11-02,32.4
2018-11-03,32.8
2018-11-04,34.8
2018-11-05,36.8
2018-11-06,39.4
