unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1647302400000,2022-03-15 00:00:00,ETH/USDT,2588.96,2598.27,2575.65,2579.99,42186.560,109150771.22542,38271
1647298800000,2022-03-14 23:00:00,ETH/USDT,2570.03,2596.75,2570.02,2588.96,85778.161,221851427.98131,78268
1647295200000,2022-03-14 22:00:00,ETH/USDT,2539.80,2589.80,2536.64,2570.03,118836.443,304865268.22793,109178
1647291600000,2022-03-14 21:00:00,ETH/USDT,2525.35,2541.23,2521.57,2539.79,29126.758,73775345.10024,37098
1647288000000,2022-03-14 20:00:00,ETH/USDT,2535.01,2545.69,2520.78,2525.36,43491.383,110300441.58338,52156
1647284400000,2022-03-14 19:00:00,ETH/USDT,2528.51,2537.68,2522.23,2535.01,55508.479,140459229.16079,53190
1647280800000,2022-03-14 18:00:00,ETH/USDT,2535.74,2540.00,2513.08,2528.50,90241.253,227994014.18304,92871
1647277200000,2022-03-14 17:00:00,ETH/USDT,2559.05,2560.00,2531.74,2535.74,110300.507,280536908.93562,102418
1647273600000,2022-03-14 16:00:00,ETH/USDT,2572.50,2581.60,2558.26,2559.05,52139.720,134035504.26743,62807
1647270000000,2022-03-14 15:00:00,ETH/USDT,2586.71,2592.27,2565.94,2572.50,67818.963,174840345.21840,68463
1647266400000,2022-03-14 14:00:00,ETH/USDT,2577.30,2592.00,2570.30,2586.70,92621.707,239125386.98263,93794
1647262800000,2022-03-14 13:00:00,ETH/USDT,2572.95,2581.38,2554.52,2577.30,91836.608,236008616.69892,103863
1647259200000,2022-03-14 12:00:00,ETH/USDT,2579.41,2583.87,2565.68,2572.96,62728.605,161460870.95431,71452
1647255600000,2022-03-14 11:00:00,ETH/USDT,2592.10,2593.43,2576.00,2579.41,45407.739,117281071.63424,69735
1647252000000,2022-03-14 10:00:00,ETH/USDT,2596.23,2598.71,2583.00,2592.09,44485.611,115218919.66034,62441
1647248400000,2022-03-14 09:00:00,ETH/USDT,2593.01,2609.32,2586.43,2596.26,57427.542,149130563.98880,73975
